Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	x1	x2
1	1	1	1	1.62	0.8999999999999997	0.8999999999999997	Initial point.
2	2	1	1	1.62964229848867	0.9053409846509035	0.8999999999999997	Search direction computation.
3	2	2	1	1.62964229848867	0.8999999999999997	0.9053409846509035	Search direction computation.
4	2	3	1	1.61891971639749	0.8996998711785757	0.8996998711785757	Decrease computation.
5	2	4	1	1.60989389745507	0.8971883574409183	0.8971883574409183	Line search. lambda = 1.0.
6	2	5	1	1.60735165447492	0.8964796859034001	0.8964796859034001	Line search. lambda = 1.25.
7	2	6	1	1.60416508607216	0.8955906112929488	0.8955906112929488	Line search. lambda = 1.5624999999999998.
8	2	7	1	1.6001682538601	0.8944742181472036	0.8944742181472036	Line search. lambda = 1.9531249999999998.
9	2	8	1	1.59515107294885	0.893070846279524	0.893070846279524	Line search. lambda = 2.4414062499999996.
10	2	9	1	1.588846845593	0.8913043379208367	0.8913043379208367	Line search. lambda = 3.051757812499999.
11	2	10	1	1.58091593946631	0.889077032507958	0.889077032507958	Line search. lambda = 3.8146972656249987.
12	2	11	1	1.57092429493975	0.8862630238647404	0.8862630238647404	Line search. lambda = 4.768371582031248.
13	2	12	1	1.5583149817214	0.8826989808879928	0.8826989808879928	Line search. lambda = 5.96046447753906.
14	2	13	1	1.54237043169466	0.8781715184673955	0.8781715184673955	Line search. lambda = 7.450580596923825.
15	2	14	1	1.52216227489908	0.8723996431965924	0.8723996431965924	Line search. lambda = 9.31322574615478.
16	2	15	1	1.49648502402104	0.8650101224902058	0.8650101224902058	Line search. lambda = 11.641532182693474.
17	2	16	1	1.4637695613727	0.8555026479715606	0.8555026479715606	Line search. lambda = 14.551915228366841.
18	2	17	1	1.42197341703912	0.8432002778222738	0.8432002778222738	Line search. lambda = 18.18989403545855.
19	2	18	1	1.36844935709085	0.8271787464299516	0.8271787464299516	Line search. lambda = 22.737367544323188.
20	2	19	1	1.29980660025789	0.806165801885038	0.806165801885038	Line search. lambda = 28.421709430403983.
21	2	20	1	1.2118101145825	0.7783990347445531	0.7783990347445531	Line search. lambda = 35.52713678800498.
22	2	21	1	1.09943315152999	0.7414287395056891	0.7414287395056891	Line search. lambda = 44.40892098500622.
23	2	22	1	0.957324454907346	0.691854195227342	0.691854195227342	Line search. lambda = 55.51115123125777.
24	2	23	1	0.781237264748363	0.6249949058785853	0.6249949058785853	Line search. lambda = 69.38893903907221.
25	2	24	1	0.571466950951157	0.5345404339014763	0.5345404339014763	Line search. lambda = 86.73617379884026.
26	2	25	1	0.340035593734058	0.4123321438683005	0.4123321438683005	Line search. lambda = 108.42021724855032.
27	2	26	1	0.123689271836636	0.24868581768632936	0.24868581768632936	Line search. lambda = 135.52527156068788.
28	2	27	1	0.00233995876924811	0.034204961403633494	0.034204961403633494	Line search. lambda = 169.40658945085985.
29	2	28	1	0.110412786380456	-0.2349604077078269	-0.2349604077078269	Line search. lambda = 211.7582368135748.
30	2	29	1	0.594096715432338	-0.545021428676129	-0.545021428676129	Line search. lambda = 264.6977960169685.
29	2	30	1	0.11041278638045601	-0.2349604077078269	-0.2349604077078269	Successfull iterate. ||dX|| = 16.60049342591202
31	3	1	1	0.104880850267822	-0.22287767290061444	-0.2349604077078269	Search direction computation.
32	3	2	1	0.104880850267822	-0.2349604077078269	-0.22287767290061444	Search direction computation.
33	3	3	1	0.110052449901249	-0.2345766931104296	-0.2345766931104296	Decrease computation.
34	3	4	1	0.531008522995439	0.5152710563360994	0.5152710563360994	Line search. lambda = 211.7582368135748.
35	3	5	1	0.901263463177423	0.671291093035437	0.671291093035437	Line search. lambda = 264.6977960169685.
36	3	6	1	0.282958036357752	0.37613696731227564	0.37613696731227564	Line search. lambda = 169.40658945085985.
37	3	7	1	0.133239418827962	0.25810794140045545	0.25810794140045545	Line search. lambda = 135.52527156068788.
38	3	8	1	0.0516586371273689	0.16071502283135963	0.16071502283135963	Line search. lambda = 108.42021724855032.
39	3	9	1	0.0133189562144606	0.0816056254631401	0.0816056254631401	Line search. lambda = 86.73617379884026.
40	3	10	1	6.42299543312728E-4	0.01792065209908289	0.01792065209908289	Line search. lambda = 69.38893903907221.
41	3	11	1	0.00219019204322353	-0.033092235065219855	-0.033092235065219855	Line search. lambda = 55.51115123125777.
40	3	12	1	6.42299543312728E-4	0.01792065209908289	0.01792065209908289	Successfull iterate. ||dX|| = 3.1208113472457057
42	4	1	1	0.00124102174512343	0.030329391247881476	0.01792065209908289	Search direction computation.
43	4	2	1	0.00124102174512343	0.01792065209908289	0.030329391247881476	Search direction computation.
44	4	3	1	6.39241147775184E-4	0.01787793539219762	0.01787793539219762	Decrease computation.
45	4	4	1	1.87702481998156E-4	-0.00968768501754047	-0.00968768501754047	Line search. lambda = 69.38893903907221.
46	4	5	1	5.50418875408565E-4	-0.016589437534295204	-0.016589437534295204	Line search. lambda = 86.73617379884026.
47	4	6	1	3.47100273141647E-5	-0.004165934907926716	-0.004165934907926716	Line search. lambda = 55.51115123125777.
48	4	7	1	1.26569615630108E-7	2.515647189393899E-4	2.515647189393899E-4	Line search. lambda = 44.40892098500622.
49	4	8	1	0.00109665842889748	0.02784795606936208	0.01792065209908289	Search direction computation.
50	4	9	1	0.00109665842889748	0.01792065209908289	0.02784795606936208	Search direction computation.
51	4	10	1	6.39977917576991E-4	0.01788823520609273	0.01788823520609273	Decrease computation.
52	4	11	1	2.69019519227281E-6	0.0011597834263932238	0.0011597834263932238	Line search. lambda = 44.40892098500622.
53	4	12	1	1.83699044781682E-5	-0.003030668612548082	-0.003030668612548082	Line search. lambda = 55.51115123125777.
54	4	13	1	9.90028176014473E-4	0.02586268362637778	0.01792065209908289	Search direction computation.
55	4	14	1	9.90028176014473E-4	0.01792065209908289	0.02586268362637778	Search direction computation.
56	4	15	1	6.40522386035877E-4	0.01789584289766588	0.01789584289766588	Decrease computation.
57	4	16	1	7.11752447942267E-6	0.0018864681920751636	0.0018864681920751636	Line search. lambda = 44.40892098500622.
58	4	17	1	9.00843876058363E-6	-0.002122314628016264	-0.002122314628016264	Line search. lambda = 55.51115123125777.
