Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	x1	x2
1	1	1	1	1.62	0.9	0.9	Initial point.
2	2	1	1	1.7125	0.95	0.9	Cost not reduced at x1+dx1.
3	2	2	1	1.5325	0.85	0.9	Cost reduced     at x1-dx1.
4	2	3	1	1.625	0.85	0.95	Cost not reduced at x2+dx2.
5	2	4	1	1.445	0.85	0.85	Cost reduced     at x2-dx2.
5	2	5	1	1.445	0.85	0.85	Local search reduced cost.
6	3	1	1	1.3625	0.8	0.85	Cost reduced     at x1-dx1.
7	3	2	1	1.28	0.8	0.8	Cost reduced     at x2-dx2.
7	3	3	1	1.28	0.8	0.8	Local search reduced cost.
8	4	1	1	1.2025	0.75	0.8	Cost reduced     at x1-dx1.
9	4	2	1	1.125	0.75	0.75	Cost reduced     at x2-dx2.
9	4	3	1	1.125	0.75	0.75	Local search reduced cost.
10	5	1	1	1.0525	0.7	0.75	Cost reduced     at x1-dx1.
11	5	2	1	0.98	0.7	0.7	Cost reduced     at x2-dx2.
11	5	3	1	0.98	0.7	0.7	Local search reduced cost.
12	6	1	1	0.9125	0.65	0.7	Cost reduced     at x1-dx1.
13	6	2	1	0.845	0.65	0.65	Cost reduced     at x2-dx2.
13	6	3	1	0.845	0.65	0.65	Local search reduced cost.
14	7	1	1	0.7825	0.6	0.65	Cost reduced     at x1-dx1.
15	7	2	1	0.72	0.6	0.6	Cost reduced     at x2-dx2.
15	7	3	1	0.72	0.6	0.6	Local search reduced cost.
16	8	1	1	0.6625	0.55	0.6	Cost reduced     at x1-dx1.
17	8	2	1	0.605	0.55	0.55	Cost reduced     at x2-dx2.
17	8	3	1	0.605	0.55	0.55	Local search reduced cost.
18	9	1	1	0.5525	0.5	0.55	Cost reduced     at x1-dx1.
19	9	2	1	0.5	0.5	0.5	Cost reduced     at x2-dx2.
19	9	3	1	0.5	0.5	0.5	Local search reduced cost.
20	10	1	1	0.4525	0.45	0.5	Cost reduced     at x1-dx1.
21	10	2	1	0.405	0.45	0.45	Cost reduced     at x2-dx2.
21	10	3	1	0.405	0.45	0.45	Local search reduced cost.
22	11	1	1	0.3625	0.4	0.45	Cost reduced     at x1-dx1.
23	11	2	1	0.32	0.4	0.4	Cost reduced     at x2-dx2.
23	11	3	1	0.32	0.4	0.4	Local search reduced cost.
24	12	1	1	0.2825	0.35	0.4	Cost reduced     at x1-dx1.
25	12	2	1	0.245	0.35	0.35	Cost reduced     at x2-dx2.
25	12	3	1	0.245	0.35	0.35	Local search reduced cost.
26	13	1	1	0.2125	0.3	0.35	Cost reduced     at x1-dx1.
27	13	2	1	0.18	0.3	0.3	Cost reduced     at x2-dx2.
27	13	3	1	0.18	0.3	0.3	Local search reduced cost.
28	14	1	1	0.1525	0.25	0.3	Cost reduced     at x1-dx1.
29	14	2	1	0.125	0.25	0.25	Cost reduced     at x2-dx2.
29	14	3	1	0.125	0.25	0.25	Local search reduced cost.
