Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	x1	x2
1	1	1	1	1.62	0.9	0.9	Initial point.
2	2	1	1	1.7125	0.95	0.9	Cost not reduced at x1+dx1.
3	2	2	1	1.5325	0.85	0.9	Cost reduced     at x1-dx1.
4	2	3	1	1.625	0.85	0.95	Cost not reduced at x2+dx2.
5	2	4	1	1.445	0.85	0.85	Cost reduced     at x2-dx2.
5	2	5	1	1.445	0.85	0.85	Global search reduced cost.
6	3	1	1	1.28	0.8	0.8	Exploration base, Delta = 1.0.
7	3	2	1	1.2025	0.75	0.8	Cost reduced     at x1-dx1.
8	3	3	1	1.125	0.75	0.75	Cost reduced     at x2-dx2.
8	3	4	1	1.125	0.75	0.75	Global search reduced cost.
9	4	1	1	0.845	0.65	0.65	Exploration base, Delta = 1.0.
10	4	2	1	0.7825	0.6	0.65	Cost reduced     at x1-dx1.
11	4	3	1	0.72	0.6	0.6	Cost reduced     at x2-dx2.
11	4	4	1	0.72	0.6	0.6	Global search reduced cost.
12	5	1	1	0.405	0.45	0.45	Exploration base, Delta = 1.0.
13	5	2	1	0.3625	0.4	0.45	Cost reduced     at x1-dx1.
14	5	3	1	0.32	0.4	0.4	Cost reduced     at x2-dx2.
14	5	4	1	0.32	0.4	0.4	Global search reduced cost.
15	6	1	1	0.08	0.2	0.2	Exploration base, Delta = 1.0.
16	6	2	1	0.0625	0.15	0.2	Cost reduced     at x1-dx1.
17	6	3	1	0.045	0.15	0.15	Cost reduced     at x2-dx2.
17	6	4	1	0.045	0.15	0.15	Global search reduced cost.
18	7	1	1	0.02	-0.1	-0.1	Exploration base, Delta = 1.0.
19	7	2	1	0.0325	-0.15	-0.1	Cost not reduced at x1-dx1.
20	7	3	1	0.0125	-0.05	-0.1	Cost reduced     at x1+dx1.
21	7	4	1	0.025	-0.05	-0.15	Cost not reduced at x2-dx2.
22	7	5	1	0.005	-0.05	-0.05	Cost reduced     at x2+dx2.
22	7	6	1	0.005	-0.05	-0.05	Global search reduced cost.
23	8	1	1	0.125	-0.25	-0.25	Exploration base, Delta = 1.0.
24	8	2	1	0.1025	-0.2	-0.25	Cost reduced     at x1+dx1.
25	8	3	1	0.08	-0.2	-0.2	Cost reduced     at x2+dx2.
26	8	4	1	0.0025	0.0	-0.05	Cost reduced     at x1+dx1.
27	8	5	1	0.0	0.0	0.0	Cost reduced     at x2+dx2.
27	8	6	1	0.0	0.0	0.0	Local search reduced cost.
28	9	1	1	0.005	0.05	0.05	Exploration base, Delta = 1.0.
29	9	2	1	0.0125	0.1	0.05	Cost not reduced at x1+dx1.
30	9	3	1	0.0025	0.0	0.05	Cost reduced     at x1-dx1.
31	9	4	1	0.01	0.0	0.1	Cost not reduced at x2+dx2.
31	9	5	1	0.0	0.0	0.0	Cost reduced     at x2-dx2.
32	9	6	1	0.0025	-0.05	0.0	Cost not reduced at x1-dx1.
