Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	x1	x2
1	1	1	1	1.62	0.8999999999999997	0.8999999999999997	Establish initial simplex (1).
2	2	1	1	1.70164550771405	0.9442698278109127	0.8999999999999997	Establish initial simplex (1).
3	2	2	1	1.70164550771405	0.8999999999999997	0.9442698278109127	Establish initial simplex (1).
4	2	3	1	1.60350317824694	0.9442698278109127	0.8437165818762189	Reflection (2).
5	2	4	1	1.52732442564217	0.9617084838410603	0.7761708689137339	Expansion (4).
6	3	1	1	1.45562117120036	0.9236774076754624	0.7761708689137339	Reflection (2).
7	3	2	1	1.31971794000342	0.9122196233336777	0.6982644905824573	Expansion (4).
8	4	1	1	1.20529898196508	0.9692265322623261	0.5156538675544107	Reflection (2).
9	4	2	1	1.04092259126369	0.9891302054627047	0.25008804030780407	Expansion (4).
10	5	1	1	0.935787685652601	0.957647852365139	0.13674164147412426	Reflection (2).
11	5	2	1	0.968886130245998	0.9555424988721917	-0.23627243405671727	Expansion (4).
12	6	1	1	1.47272878483511	0.9996936692377945	-0.687998075957329	Reflection (2).
13	6	2	1	1.04395502143792	0.9483562066152345	0.3802308861892789	Partial inside contraction (6).
14	7	1	1	1.11938214934411	0.9923099441001608	-0.36701924225310667	Reflection (2).
15	7	2	1	0.966166150044659	0.9629362896104638	0.19728115012816705	Partial inside contraction (6).
16	8	1	1	0.913377452547295	0.9111062435393249	-0.28855305496728856	Reflection (2).
17	8	2	1	1.00180142574406	0.8454091169785551	-0.5358029961409274	Expansion (4).
18	9	1	1	0.870029426226422	0.9215875529394846	0.14389513019360556	Reflection (2).
19	9	2	1	0.920744090665981	0.9011776821583437	0.3295798474508058	Expansion (4).
20	10	1	1	0.842058818141189	0.8523308756227399	-0.33998661238549155	Reflection (2).
21	10	2	1	0.933069267789881	0.7718822991779306	-0.5807469190668796	Expansion (4).
22	11	1	1	0.757612266083338	0.8657347474279509	0.09008669812575198	Reflection (2).
23	11	2	1	0.782553910547586	0.8398163021519118	0.27796130879580083	Expansion (4).
24	12	1	1	0.602983200087906	0.7481171437988285	-0.2080959856465011	Reflection (2).
25	12	2	1	0.539285514658744	0.6301564878631953	-0.377078659516375	Expansion (4).
26	13	1	1	0.431639355651899	0.6117520396709288	0.23958046166237645	Reflection (2).
27	13	2	1	0.472073225903661	0.4592913972156871	0.5110035600143337	Expansion (4).
28	14	1	1	0.0433299662436435	0.16129954175068106	-0.13157668514848608	Reflection (2).
29	14	2	1	0.174297448649079	-0.25269189221173083	-0.3323315456882383	Expansion (4).
30	15	1	1	0.50130875615787	-0.4439649978175195	0.5515467676188124	Reflection (2).
31	15	2	1	0.142328736805596	-0.17369006070149307	0.33490371693832754	Partial outside contraction (5).
32	16	1	1	0.879365159775247	-0.7878032244515141	-0.5086563076567954	Reflection (2).
33	16	2	1	0.0876458998138725	0.13071430834969644	0.26563070117464394	Partial inside contraction (6).
34	17	1	1	0.70509120690896	0.2103915066115596	0.8129124312339415	Reflection (2).
35	17	2	1	0.0193699874154443	-0.138158875183378	-0.016796208605161733	Partial inside contraction (6).
36	18	1	1	0.0356298022359129	0.16628663531359056	-0.08932276950474505	Reflection (2).
37	19	1	1	0.144717500941906	-0.10244892119694748	-0.3663628249256302	Reflection (2).
38	19	2	1	0.0168608897579761	0.0725959129717737	0.10766022096285477	Partial inside contraction (6).
39	20	1	1	0.0855489243585051	-0.2309024157608527	0.17953550833834342	Reflection (2).
40	20	2	1	0.00497025257686431	0.06699551860007391	-0.021951151777787392	Partial inside contraction (6).
40	21	1	1	0.00497025257686431	0.06699551860007391	-0.021951151777787392	Base point for optimality check.
41	21	2	1	0.0056651599698041	0.07199518668239313	-0.021951151777787392	test optimality condition
42	21	3	1	0.00432512989627175	0.06199416772487787	-0.021951151777787392	test optimality condition
43	22	1	1	0.00497003540311171	0.06699389777241094	-0.021951151777787392	Establish initial simplex (1).
44	22	2	1	0.00413059208060494	0.06199416772487787	-0.016950376063812	Establish initial simplex (1).
45	22	3	1	0.00353550379238905	0.0569928815176457	-0.016950376063812	Reflection (2).
46	22	4	1	0.00291177456222312	0.051990164691556595	-0.014449821368028859	Expansion (4).
47	23	1	1	0.00279225055479429	0.051990164691556595	-0.009448456495063873	Reflection (2).
48	23	2	1	0.00221791479920497	0.04698614282336422	-0.0031964326658612263	Expansion (4).
49	24	1	1	0.00136761126030677	0.03697468642832469	-6.955744631796934E-4	Reflection (2).
50	24	2	1	6.53296950080449E-4	0.024455263083098755	0.007432163723766871	Expansion (4).
51	25	1	1	7.27289331042697E-4	0.01944630947317516	0.018685030878117237	Reflection (2).
52	26	1	1	8.68709577788744E-4	-0.003098206925030711	0.029310590093657884	Reflection (2).
53	26	2	1	5.37690566749327E-4	0.009427063591952	0.021185396828537817	Partial outside contraction (5).
54	27	1	1	3.07086295728276E-4	0.014436867727606106	0.00993293239400539	Reflection (2).
55	27	2	1	1.7324801099439E-4	0.011932003099050181	0.0055565558612009625	Expansion (4).
56	28	1	1	3.82480158638289E-4	-0.003098206925030711	0.019310133932419538	Reflection (2).
57	29	1	1	1.39010360598842E-5	-5.931288250453637E-4	0.003680928450375598	Reflection (2).
58	29	2	1	5.7122418953087E-5	-0.005603265582411421	-0.005072064053819769	Expansion (4).
59	30	1	1	4.43277388365296E-4	0.009427063591952	-0.018825723369862546	Reflection (2).
60	30	2	1	9.55837100545691E-5	3.314189561764991E-5	0.009776636009861672	Partial inside contraction (6).
61	31	1	1	3.07029797555488E-4	-0.01750154566783002	-8.518783905865357E-4	Reflection (2).
62	31	2	1	3.65554570055921E-5	0.004573588927620387	0.003954458411304929	Partial inside contraction (6).
62	32	1	1	3.65554570055921E-5	0.004573588927620387	0.003954458411304929	Base point for optimality check.
63	32	2	1	1.07299828685078E-4	0.00957403192799866	0.003954458411304929	test optimality condition
64	32	3	1	1.58200433741864E-5	-4.269684384660133E-4	0.003954458411304929	test optimality condition
65	33	1	1	3.65549823845437E-5	0.004573537040169606	0.003954458411304929	Establish initial simplex (1).
66	33	2	1	8.03726997877646E-5	-4.269684384660133E-4	0.008954909141935419	Establish initial simplex (1).
67	33	3	1	2.20115478622337E-5	0.004573537040169606	-0.0010460912027305813	Reflection (2).
68	34	1	1	1.27660885187601E-6	-4.2696843846634636E-4	-0.0010460912027302482	Reflection (2).
69	34	2	1	2.11453438674956E-5	-0.0029272249890579527	-0.0035463640155700693	Expansion (4).
70	35	1	1	4.50950985557494E-5	-0.005427463240686881	0.003954458411305151	Reflection (2).
71	35	2	1	4.34017050813793E-6	0.0020732907812335277	2.040486329040192E-4	Partial inside contraction (6).
72	36	1	1	2.73048805801541E-5	0.0020732907812333057	-0.004796493085224562	Reflection (2).
73	36	2	1	3.16055158866278E-6	1.9809672677228995E-4	0.0017667227500388627	Partial inside contraction (6).
74	37	1	1	5.56680830818555E-6	-0.0023021619563977636	5.165836183043115E-4	Reflection (2).
75	37	2	1	1.0389061939068E-6	9.794280458603755E-4	2.8218238231492165E-4	Partial inside contraction (6).
76	38	1	1	6.52966121973502E-6	3.5436301552782545E-4	-0.002530629975512233	Reflection (2).
77	38	2	1	5.35642764406964E-7	2.3716329956369187E-4	6.923845273740792E-4	Partial inside contraction (6).
78	39	1	1	6.78434155549966E-6	0.0016435592157224566	0.0020206569871983326	Reflection (2).
79	39	2	1	8.62864652693645E-8	9.06636502160385E-5	-2.794039509363966E-4	Partial inside contraction (6).
80	40	1	1	4.4169230936294E-7	-6.516012042143693E-4	1.3079824169048848E-4	Reflection (2).
81	41	1	1	1.34422942405157E-6	-7.981008170441228E-4	-8.409901960695354E-4	Reflection (2).
82	41	2	1	9.5975093643233E-8	-2.1652749100931068E-5	3.0904085830130157E-4	Partial inside contraction (6).
83	42	1	1	5.29515398437217E-7	7.206120891949386E-4	-1.0116133324211685E-4	Reflection (2).
84	42	2	1	1.00502859039618E-7	-3.085478949568232E-4	7.280834812939396E-5	Partial inside contraction (6).
79	43	1	1	8.62864652693645E-8	9.06636502160385E-5	-2.794039509363966E-4	Base point for optimality check.
85	43	2	1	2.59980037653391E-5	0.005091162656755355	-2.794039509363966E-4	test optimality condition
86	43	3	1	2.41845720557832E-5	-0.004909837623382707	-2.794039509363966E-4	test optimality condition
87	43	4	1	2.22970021100166E-5	9.06636502160385E-5	0.004721099682547081	test optimality condition
88	43	5	1	2.78855702209556E-5	9.06636502160385E-5	-0.005279900597879195	test optimality condition
79	39	3	1	8.62864652693645E-8	9.06636502160385E-5	-2.794039509363966E-4	Minimum point.
